"store","id","original_ean","original_name","original_description","current_price","promo_price"
aurrera,be68c733-10d7-48c9-8aae-dcfa2662e6e6,"7502271564098",Rubor Olé!  naranja 3.0 g,"Ahora Olé! tiene para ti el rubor compacto en tono naranja, un color vibrante que le dará un toque especial a tu rostro.   - Aplica directamente con ayuda de una brocha cosmética sobre tus mejillas y complementa tu arreglo personal - Le dará a tu rostro un toque magnífico - Material de calidad   Encuentra en nuestra Tienda en Línea todos los productos que requieres para tu rutina de belleza. Agrega a tu carrito este y otros productos cosméticos de forma fácil. Contamos con servicio a domicilio y distintas formas de pago para tu comodidad.Un indispensable en tu rutina,Material resistente,Práctico para que lo lleves a donde quieras",$29.50,$29.50
aurrera,cda4785b-88a1-41aa-985d-9196bbc4a886,"7500435202855",Antitranspirante en spray Old Spice Extreme Protect 93 g,"El antitranspirante en aerosol Extreme Protect de Old Spice te ofrece protección poderosa contra el mal olor y te hace oler increíblemente bien con sus refrescantes notas a mar, menta, romero, sándalo y ámbar que te protegen hasta por 25 días del mal olor corporal. Además, este spray antitranspirante te hará sentir fresco por todo el día.   - Además, cuenta con la tecnología 3X Active Defense:Protección poderosa contra el sudorFrescura duradera. - Antibacterial (Basado en pruebas realizadas con bacterias que causan mal olor corporal: S. Epidermidis, S. Hominis, C. Mucifaciens, C. Tuberculostearicum). - Mejor protección contra el mal olor corporal por hasta 25 días (Con uso diario de 3.7 g por día). - Disfruta su delicioso aroma a menta, romero, sándalo, ámbar y refrescantes notas de mar.  En tu tienda en línea encuentra todos los artículos necesarios para tu hogar, lleva todo lo que necesitas para tu despensa y compra en línea con la tranquilidad de recibir todas tus compras hasta las puertas de tu casa, con nuestro servicio de entregas a domicilio.Úsalo durante el día para tener extra protección contra el mal olor,Protección poderosa contra el mal olor durante todo el día,Huele increíblemente bien hasta en los momentos extremos",$72.00,$72.00
aurrera,d9aeedf3-f338-43cc-a7b6-ca479cafc70d,"194850954313",Cartucho de Tinta HP  667  Ink Advantage Negro,"Imprime todo lo que necesitas con la ayuda de este cartucho 667 de HP.  • Tiene un rendimiento aproximado de 120 páginas. • Cuidan el ambiente debido a que están hechos de materiales reciclados. • Te provee de impresiones de gran intensidad y nitidez.  No esperes más y aprovecha las útiles cualidades de este cartucho.  Nuestra tienda en línea te ofrece entrega a domicilio, encuentra accesorios para computadoras, diversos modelos de mouse, bocinas portátiles, impresoras multifuncionales, cartuchos de tinta, tabletas, las mejores marcas de laptops y muchas otras cosas más.Cartuchos originales HP diseñados para pensar en el planeta para brindar reciclaje sencillo,Tipo de tinta con base de pigmento,Rendimiento en blanco y negro aprox. 120 páginas Sólo aplica para productos vendidos por Walmart/Bodega Aurrera:    1 Año directo con proveedor  Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$279.00,$279.00
aurrera,d4e915b0-39f5-40ca-9f1d-5a9abfbc3cf9,"32601953942",Kale orgánica Earthbound Farm  142 g,"El kale aporta grandes beneficios al consumirlo, además que puedes crear diversas recetas con este.  - Contiene fibra, antioxidantes, calcio, vitaminas C y K, hierro y una gran variedad de otros nutrientes que pueden ayudar a prevenir diversos problemas de salud - Con antioxidantes ayudan al cuerpo a eliminar toxinas no deseadas que resultan de procesos naturales y presiones ambientales. - Ideal para elaborar ensaladas, guisados o preparar recetas originales de cocina saludable y nutritiva este delicioso kale es una gran opción  Cuida de ti y de los tuyos con alimentos de calidad. Ahora puedes realizar tus compras de este y otros productos en tu tienda en línea, donde encontrarás lo necesario para tu día a día. Recuerda que, con nuestro servicio de entregas a domicilio, tus compras llegarán hasta la puerta de tu hogar. También contamos con servicio de Pickup, así como diversas formas de pago.Orgánica,Fresca,Limpia y lista para comer",$129.00,$129.00
aurrera,"58678d5c-01f6-4d00-805b-29a6623359da","7503001182322",Refresco Elite  sabor toronja 600 ml,"Refresco Elite sabor toronja en presentación de 600 ml, excelente para acompañar los alimentos o refrescar tu día con un rico sabor.   - Sin grasas saturadas - Sin grasas trans - Presentación ideal para llevar a cualquier parte   Recuerda que ya puedes realizar tus compras en la tienda en línea, en donde también encontrarás todo lo necesario para tu día a día o para surtir la despensa de tu hogar. Compra lo que necesites ya que con nuestro servicio de entregas a domicilio tus compras llegarán hasta la puerta de tu hogar.Con azúcar de caña,Fórmula original,Sabor único",$17.00,$17.00
aurrera,"064ca3f3-4a19-4861-9a34-2183d44dc876","7506267921520",Shampoo Chupa Chups  balance y nutrición chocolate vainilla 375 ml,"¿Sabías qué desde ahora el cuidado profesional de tu cabello también puede ser delicioso?. Chupa Chups delicious hair care es una línea de productos enfocados en el cuidado profesional del cabello que nutre el cabello de raíz a puntas.   -Con extractos naturales  -Formulas perfectas para nutrir , reparar y cuidar de tu cabello  -Dándole la fuerza, brillo y vitaminas para una melena saludable y espectacular -Vitamina F que revitaliza el cabello, desaparece el friz e hidrata cabello seco o con puntas abiertas -Extracto de cacao que da elasticidad y fuerza para el cabello, mejorando la circulación y evita que se produzca más sebo de lo normal.   Compra este y más artículos de belleza en nuestra tienda en línea y descubre el amplio catalogo online que tenemos disponible para ti. Además, recuerda que contamos con servicio a domicilio y/o servicio Pickup.Nutre tu cabello,Salud capilar,Agradable aroma",$86.00,$86.00
aurrera,f68040c4-d700-4bb6-a7ad-ed365e02ea3a,"7503038578136",Audífonos Inalámbricos Stf Iron Earth True Wireless Deportivos,"Con los audífonos inalámbricos Iron Earth podrás hacer ejercicio, correr o andar en bici de forma completamente segura y con libertad de movimiento ya que cuentan con un gancho ergonómico que se mantiene en tu oreja. Es resistente a salpicaduras gracias a su certificación IPX4 por lo que si sudas a la hora de tu entrenamiento no tendrás que preocuparte de que puedan dañarse; tienen una duración de batería recargable de 3 horas y 5 cargas extras con su estuche cargador por lo que tendrás hasta 18 horas de batería para que puedas disfrutar de tu música durante todo el día, además viene integrado un micrófono con el que podrás contestar llamadas con sonido nítido y claro. Incluye 1 par de audífonos inalámbricos, 1 base de carga, 1 cable de carga, 2 pares de almohadillas extra, 1 manual de usuario.  Compra lo mejor en Tecnología y Entretenimiento en Despensa Bodega Aurrera en línea, tenemos gran variedad de accesorios para tus aparatos electrónicos, incluyendo soportes para TV, cables HDMI, reproductores dvd, bocinas bluetooth, audífonos y mucho más; pídelos desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Audio Inalámbrico,Base Recargable,IPX4 Resistente a Salpicaduras,Micrófono,Alcance Inalámbrico 10m Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: 1 año directo con proveedor. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$359.00,$359.00
aurrera,bf7c392a-1789-49f3-9867-6144b2c9b27e,"885306602345",Playera Fruit Of The Loom  Talla G Cuello V Manga Corta Gris Obscuro Jaspe,"Luce espectacular con la playera para mujer de Fruit of the Loom, en su modelo de manga corta y cuello en V.   - Esta playera es perfecta para cualquier ocasión gracias a su corte femenino y suave tela de algodón y poliéster que la hacen fresca al contacto.  - Además, cuenta con una etiqueta estampada para mayor comodidad y un cuello en V que no se deforma.  - El largo de esta playera es ideal y te hará sentir cómoda en todo momento.   No esperes más y adquiere la playera Fruit of the Loom de manga corta y cuello en V para lucir espectacular.  Compra en nuestra sección de ropa deportiva en Despensa Bodega Aurrera en línea, tenemos los mejores productos en shots, playeras y más con envío a domicilio; pídelo desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Suave,Fresca al contacto,Largo ideal Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal.  Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$75.00,$75.00
aurrera,ff254ead-e202-4d14-a4ea-9e1feeebfb56,"7502295943480",Botella Deportiva Fun Kids  Surf Frozen 870 ml,"¡Dale a tus pequeños la botella perfecta para mantenerse hidratados durante sus aventuras! Con un diseño colorido y divertido, esta botella  los motivará a mantenerse activos y saludables. Duradera y fácil de usar. Encuentra gran variedad de artículos en nuestra tienda en línea sin salir de casa. Compra este y más artículos para tu hogar en Despensa Bodega Aurrera en línea. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Capacidad de 870 ml,No almacena olores,Fácil limpieza,Diseño novedoso de Frozen Sin garantía",$17.03,$17.03
aurrera,a98668d6-4861-4b60-a9df-3ef9279124cd,"7501296531771",Pijama Disney  Talla G Set 2 Piezas Azul,"¡Descubre la magia y el confort de la Pijama Disney para dama en color azul, talla G, y disfruta de tus noches con un toque de fantasía!  - Kit de playera y short que te brinda un conjunto completo y encantador para descansar con estilo. - Playera manga larga y cuello redondo que te ofrece abrigo y comodidad durante las noches frescas. - Capri con elástico en cintura para un ajuste perfecto y cómodo en todo momento. - Estampado de Minnie y Mickey Mouse que añade un toque divertido y mágico a tu pijama.  ¡Haz tuya esta adorable pijama y vive tus sueños con la magia de Disney!  Compra ropa para dama en Despensa Bodega Aurrera en línea, tenemos los mejores artículos como playeras, shorts y más con envío a domicilio; pídelo desde la comodidad de tu hogar. Contamos con distintas formas de pago para que elijas la que más te convenga ¡Compra con la CAMPEONA de los PRECIOS BAJOS!Agradable diseño,Suavidad al tacto,Comodidad y confort Sólo aplica para productos vendidos por Walmart/Bodega Aurrera: Consulte Política de Devoluciones. No aplica con prendas de uso personal. Consulta las condiciones de garantía de otros vendedores en la sección correspondiente.",$199.00,$199.00
